CYCLOSPORINE,Rectal haemorrhage,3
CYCLOSPORINE,Acute myocardial infarction,4
CYCLOSPORINE,Colorectal adenocarcinoma,3
CYCLOSPORINE,Peripheral swelling,5
CYCLOSPORINE,Drug hypersensitivity,5
CYCLOSPORINE,Loss of personal independence in daily activities,5
CYCLOSPORINE,Red blood cell sedimentation rate increased,9
CYCLOSPORINE,Fibrosis,4
CYCLOSPORINE,Treatment failure,5
CYCLOSPORINE,Scedosporium infection,2
CYCLOSPORINE,Acute lymphocytic leukaemia recurrent,4
CYCLOSPORINE,Superficial spreading melanoma stage unspecified,4
CYCLOSPORINE,Acute graft versus host disease in intestine,9
CYCLOSPORINE,Candida infection,3
CYCLOSPORINE,Metabolic acidosis,4
CYCLOSPORINE,Cardiac arrest,4
CYCLOSPORINE,Fungal infection,3
CYCLOSPORINE,Contraindicated product administered,5
CYCLOSPORINE,Sepsis,6
CYCLOSPORINE,Therapy non-responder,4
CYCLOSPORINE,Pleural effusion,4
CYCLOSPORINE,Product use issue,5
CYCLOSPORINE,Dengue fever,2
CYCLOSPORINE,Monoclonal B-cell lymphocytosis,4
CYCLOSPORINE,Panniculitis,5
CYCLOSPORINE,Rash pruritic,5
CYCLOSPORINE,Lymphadenopathy,4
CYCLOSPORINE,Ascites,3
CYCLOSPORINE,Intestinal ulcer,7
CYCLOSPORINE,Pain,5
CYCLOSPORINE,Heart transplant rejection,4
CYCLOSPORINE,Proteus test positive,11
CYCLOSPORINE,Pancytopenia,3
CYCLOSPORINE,Breath sounds abnormal,5
CYCLOSPORINE,Nausea,5
CYCLOSPORINE,Oedema peripheral,4
CYCLOSPORINE,Drug eruption,5
CYCLOSPORINE,Anaemia,3
CYCLOSPORINE,Rash,9
CYCLOSPORINE,Arthralgia,5
CYCLOSPORINE,Bronchopulmonary aspergillosis,11
CYCLOSPORINE,Graft versus host disease,12
CYCLOSPORINE,Erythema,5
CYCLOSPORINE,Gingival hypertrophy,2
CYCLOSPORINE,Pulmonary fibrosis,5
CYCLOSPORINE,Deafness,5
CYCLOSPORINE,Aspergillus test positive,11
CYCLOSPORINE,Alopecia,5
CYCLOSPORINE,Rheumatoid arthritis,5
CYCLOSPORINE,Acute graft versus host disease,5
CYCLOSPORINE,Hilar lymphadenopathy,4
CYCLOSPORINE,Drug interaction,3
CYCLOSPORINE,Protothecosis,3
CYCLOSPORINE,Diarrhoea,11
CYCLOSPORINE,Human polyomavirus infection,4
CYCLOSPORINE,Aspergillus infection,11
CYCLOSPORINE,Renal failure,3
CYCLOSPORINE,Haemodynamic instability,11
CYCLOSPORINE,Purpura,4
CYCLOSPORINE,Therapeutic product effect incomplete,8
CYCLOSPORINE,Fungal abscess central nervous system,2
CYCLOSPORINE,Adverse event,5
CYCLOSPORINE,Pneumonia,5
CYCLOSPORINE,Xanthoma,3
CYCLOSPORINE,Insomnia,5
CYCLOSPORINE,Pericarditis,4
CYCLOSPORINE,Hepatitis,5
CYCLOSPORINE,Hypertension,5
CYCLOSPORINE,Adenocarcinoma gastric,4
