CYCLOSPORINE,Pneumonia bacterial,9.0
CYCLOSPORINE,Loss of consciousness,13.0
CYCLOSPORINE,Alanine aminotransferase increased,17.0
CYCLOSPORINE,Immunosuppressant drug level decreased,13.0
CYCLOSPORINE,Infusion related reaction,17.0
CYCLOSPORINE,Fluid retention,9.0
CYCLOSPORINE,Skin ulcer,17.0
CYCLOSPORINE,Stenotrophomonas infection,9.0
CYCLOSPORINE,Rectal haemorrhage,9.0
CYCLOSPORINE,Acute myocardial infarction,13.0
CYCLOSPORINE,Colorectal adenocarcinoma,9.0
CYCLOSPORINE,Peripheral swelling,17.0
CYCLOSPORINE,Drug hypersensitivity,17.0
CYCLOSPORINE,Loss of personal independence in daily activities,17.0
CYCLOSPORINE,Red blood cell sedimentation rate increased,33.0
CYCLOSPORINE,Fibrosis,13.0
CYCLOSPORINE,Treatment failure,17.0
CYCLOSPORINE,Scedosporium infection,5.0
CYCLOSPORINE,Acute lymphocytic leukaemia recurrent,13.0
CYCLOSPORINE,Superficial spreading melanoma stage unspecified,13.0
CYCLOSPORINE,Acute graft versus host disease in intestine,33.0
CYCLOSPORINE,Candida infection,9.0
CYCLOSPORINE,Metabolic acidosis,13.0
CYCLOSPORINE,Cardiac arrest,13.0
CYCLOSPORINE,Fungal infection,9.0
CYCLOSPORINE,Contraindicated product administered,17.0
CYCLOSPORINE,Sepsis,21.0
CYCLOSPORINE,Therapy non-responder,13.0
CYCLOSPORINE,Pleural effusion,13.0
CYCLOSPORINE,Product use issue,17.0
CYCLOSPORINE,Dengue fever,5.0
CYCLOSPORINE,Monoclonal B-cell lymphocytosis,13.0
CYCLOSPORINE,Panniculitis,17.0
CYCLOSPORINE,Rash pruritic,17.0
CYCLOSPORINE,Lymphadenopathy,13.0
CYCLOSPORINE,Ascites,9.0
CYCLOSPORINE,Intestinal ulcer,25.0
CYCLOSPORINE,Pain,17.0
CYCLOSPORINE,Heart transplant rejection,13.0
CYCLOSPORINE,Proteus test positive,41.0
CYCLOSPORINE,Pancytopenia,9.0
CYCLOSPORINE,Breath sounds abnormal,17.0
CYCLOSPORINE,Nausea,17.0
CYCLOSPORINE,Oedema peripheral,13.0
CYCLOSPORINE,Drug eruption,17.0
CYCLOSPORINE,Anaemia,9.0
CYCLOSPORINE,Rash,33.0
CYCLOSPORINE,Arthralgia,17.0
CYCLOSPORINE,Bronchopulmonary aspergillosis,41.0
CYCLOSPORINE,Graft versus host disease,45.0
CYCLOSPORINE,Erythema,17.0
CYCLOSPORINE,Gingival hypertrophy,5.0
CYCLOSPORINE,Pulmonary fibrosis,17.0
CYCLOSPORINE,Deafness,17.0
